scope_area,building,config,n_sale,median_sale_aed,p25_sale_aed,median_sqft,median_sale_psf,median_days_listed_sale,share_off_plan_pct,n_rent,median_rent_aed,p75_rent_aed,median_days_listed_rent,asking_gross_yield_pct,deal_yield_pct
Jumeirah Lake Towers,Icon Tower 2,1BR,5,1250000.0,1230000.0,746.0,1648.7935656836462,47.0,0.0,26,83499.5,90000.0,17.5,6.67996,7.317073170731707
Jumeirah Lake Towers,Lake Shore Tower,1BR,14,1274999.5,1160000.0,967.0,1344.3640124095139,27.0,0.0,18,85000.0,90000.0,27.5,6.666669281046776,7.758620689655173
Dubai Marina,MAG 218,1BR,9,1350000.0,1270000.0,864.0,1562.5,10.0,0.0,27,90000.0,95000.0,16.0,6.666666666666667,7.480314960629922
Dubai Marina,Skyview Tower,1BR,9,1425000.0,1355000.0,722.0,1865.4646324549237,23.0,0.0,6,95000.0,95000.0,20.5,6.666666666666667,7.011070110701106
Dubai Marina,Marina Living,1BR,28,1800000.0,1750000.0,773.5,2384.310918354457,31.0,42.857142857142854,40,119999.5,134998.0,24.0,6.666638888888889,7.7141714285714285
Dubai Marina,Studio One,1BR,19,1540000.0,1450000.0,658.0,2366.9467787114845,46.0,0.0,26,102500.0,110000.0,28.0,6.6558441558441555,7.586206896551724
Jumeirah Lake Towers,MBL Residence,1BR,26,1650000.0,1600000.0,751.5,2179.8770158558073,23.5,0.0,56,109495.0,112000.0,22.0,6.636060606060607,7.000000000000001
Dubai Marina,West Avenue Tower,1BR,11,1549000.0,1520000.0,713.0,2145.8625525946704,12.0,0.0,14,102499.5,105000.0,19.0,6.617140090380891,6.907894736842106
Dubai Marina,Ocean Heights,1BR,24,1662500.0,1530000.0,918.0,1703.823037260077,65.5,0.0,52,109999.5,120000.0,18.0,6.616511278195489,7.8431372549019605
Jumeirah Lake Towers,Jumeirah Bay X1,1BR,18,1400000.0,1390000.0,977.0,1430.7642199151924,42.0,0.0,85,92000.0,95000.0,29.0,6.571428571428571,6.83453237410072
Jumeirah Lake Towers,Saba Tower 2,1BR,11,1300000.0,1250000.0,774.0,1679.5865633074936,17.0,0.0,23,85000.0,90000.0,17.0,6.538461538461539,7.199999999999999
Dubai Marina,DEC Tower 2,1BR,17,1302000.0,1200000.0,823.0,1458.0801944106927,25.0,0.0,5,85000.0,90000.0,19.0,6.528417818740399,7.5
Dubai Marina,Bay Central Tower West,STUDIO,6,1150000.0,1150000.0,446.0,2578.47533632287,15.0,0.0,23,74999.0,85000.0,26.0,6.5216521739130435,7.391304347826087
Dubai Marina,Marina Star,1BR,18,2224500.0,2000000.0,912.0,2826.578496830777,61.5,5.555555555555555,5,144888.0,155000.0,64.0,6.513283884018881,7.75
Dubai Marina,JW Marriott Hotel Marina,STUDIO,21,1849998.0,1740000.0,544.0,3375.9087591240877,22.0,0.0,28,119995.0,135000.0,41.5,6.486223228349436,7.758620689655173
Dubai Marina,Princess Tower,1BR,22,1450000.0,1350000.0,923.0,1573.3710934361693,18.5,0.0,24,93499.5,105000.0,13.0,6.448241379310344,7.777777777777778
Jumeirah Lake Towers,Goldcrest Views 2,1BR,5,1400000.0,1250000.0,764.0,1780.6267806267806,5.0,0.0,8,90000.0,95000.0,15.0,6.428571428571428,7.6
Jumeirah Lake Towers,Me Do Re Tower,STUDIO,18,1325000.0,1249999.0,465.5,2726.337448559671,19.0,0.0,24,85099.0,92399.0,41.5,6.42256603773585,7.391925913540732
Jumeirah Lake Towers,Banyan Tree Residences Hillside Dubai,1BR,10,2390000.0,2095000.0,851.0,2768.549280177187,19.0,0.0,8,152500.0,155000.0,17.0,6.380753138075314,7.398568019093078
Jumeirah Lake Towers,Lakeside Residence,1BR,17,1290000.0,1225000.0,831.0,1537.37658674189,22.0,0.0,28,81999.5,89999.0,18.0,6.356550387596899,7.346857142857142
Jumeirah Lake Towers,Lake Terrace,1BR,13,1260000.0,1150000.0,747.0,1675.531914893617,18.0,0.0,24,79999.5,90000.0,13.0,6.349166666666667,7.82608695652174
Dubai Marina,Marina Heights,1BR,5,1574999.0,1500000.0,1010.0,1582.5914935707222,23.0,0.0,11,99999.0,100000.0,10.0,6.349146888347231,6.666666666666667
Jumeirah Lake Towers,Orra The Embankment,1BR,8,2099999.5,1750000.0,1118.0,1988.0895172861901,45.0,37.5,32,132500.0,140000.0,29.5,6.309525311791742,8.0
Dubai Marina,Iris Blue,1BR,7,1750000.0,1750000.0,736.0,2377.717391304348,26.0,0.0,5,110000.0,119999.0,15.0,6.2857142857142865,6.857085714285714
Dubai Marina,Marina Diamond 6,1BR,5,1195000.0,1195000.0,713.0,1676.01683029453,46.0,0.0,13,74999.0,85000.0,12.0,6.2760669456066935,7.112970711297072
Jumeirah Lake Towers,Dubai Arch,1BR,11,1550000.0,1450000.0,1097.0,1538.4615384615386,74.0,0.0,9,96999.0,120000.0,24.0,6.258,8.275862068965518
Dubai Marina,Marina Quays West,1BR,12,1800000.0,1649999.0,775.0,2248.2063442150593,50.0,0.0,16,112500.0,120000.0,12.0,6.25,7.272731680443442
Jumeirah Lake Towers,MBL Royal,1BR,18,2000000.0,1890000.0,874.5,2282.650674018886,43.0,0.0,31,125000.0,130000.0,25.0,6.25,6.878306878306878
Dubai Marina,LIV Residence,1BR,10,2250000.0,2100000.0,919.0,2535.9629483633444,15.0,0.0,15,140000.0,150000.0,23.0,6.222222222222222,7.142857142857142
Jumeirah Lake Towers,Me Do Re Tower,1BR,14,2250000.0,2150000.0,1003.0,2243.2701894317047,22.5,7.142857142857142,27,139999.0,145000.0,35.0,6.222177777777778,6.744186046511628
Dubai Marina,Elite Residence,1BR,44,1450000.0,1330000.0,959.0,1786.0054347826085,31.5,0.0,57,90000.0,100000.0,19.0,6.206896551724138,7.518796992481203
Dubai Marina,DEC Tower 1,STUDIO,5,1050000.0,890000.0,517.0,2027.027027027027,11.0,0.0,11,65000.0,69000.0,16.0,6.190476190476191,7.752808988764046
Dubai Marina,Time Place Tower,1BR,12,1475000.0,1390000.0,802.0,1854.7586652013883,33.5,0.0,13,90000.0,100000.0,16.0,6.101694915254238,7.194244604316546
Jumeirah Lake Towers,Concorde Tower,1BR,24,1275000.0,1150000.0,819.0,1528.1210489824218,35.5,0.0,52,77500.0,85000.0,12.0,6.078431372549019,7.391304347826087
Dubai Marina,Marina Crown,1BR,13,1400000.0,1275000.0,811.0,1726.2638717632553,23.0,0.0,23,85000.0,95000.0,16.0,6.071428571428571,7.450980392156863
Dubai Marina,5242 Tower 1,1BR,7,2550000.0,2549000.0,800.0,3482.3284823284826,17.0,0.0,28,154500.0,160000.0,26.5,6.0588235294117645,6.2769713613181635
Dubai Marina,Aurora Tower,1BR,5,1950000.0,1890000.0,957.0,2037.6175548589342,30.0,0.0,9,118000.0,120000.0,16.0,6.051282051282051,6.349206349206349
Dubai Marina,Marina Tower,1BR,8,1824499.5,1700000.0,761.0,2331.8002628120894,68.0,0.0,11,110000.0,120000.0,18.0,6.029050706782874,7.0588235294117645
Dubai Marina,Zumurud Tower,1BR,8,1499997.5,1450000.0,816.5,1862.026862026862,79.5,0.0,6,90000.0,95000.0,16.0,6.000010000016666,6.551724137931035
Dubai Marina,The Point,1BR,11,1650000.0,1600000.0,786.0,2118.75,19.0,0.0,8,99000.0,110000.0,21.0,6.0,6.875000000000001
Jumeirah Lake Towers,O2 Residence,1BR,5,1500000.0,1350000.0,961.0,1560.8740894901146,18.0,0.0,18,89999.5,94999.0,16.0,5.9999666666666664,7.036962962962963
