area_lower,config,dld_n_tx,dld_actual_aed,dld_actual_psf,dld_share_offplan_pct,pf_n_sale,pf_asking_aed,pf_asking_psf,pf_n_rent,pf_rent_aed,asking_premium_pct,dld_implied_yield_pct,pf_implied_yield_pct
dubai studio city,2BR,16,1123909.0,1181.2213881047146,0.0,,,,,,,,
wadi al safa 7,STUDIO,17,507000.0,1250.5656134580001,0.0,,,,,,,,
the greens,STUDIO,16,905000.0,2064.574918772166,0.0,,,,,,,,
down town jabal ali,1BR,14,566197.0,778.2796361745015,0.0,,,,,,,,
remraam,STUDIO,15,480000.0,1013.3412947910836,0.0,,,,,,,,
al khail heights,2BR,6,1375000.0,964.4428668763812,0.0,,,,,,,,
dubai investment park second,1BR,42,581609.0,700.0015591774586,0.0,,,,,,,,
international city ph 2 & 3,1BR,50,727500.0,972.785038100647,0.0,,,,,,,,
meydan one,1BR,78,1205250.0,2018.631737162268,0.0,,,,,,,,
remraam,1BR,44,750000.0,963.9163058940801,0.0,,,,,,,,
dubai investment park second,2BR,18,980000.0,631.6105078620892,0.0,,,,,,,,
jaddaf waterfront,1BR,10,1025000.0,1885.164033802455,0.0,,,,,,,,
dubai hills,1BR,110,1500000.0,2394.4552483430157,0.0,,,,,,,,
muhaisanah first,1BR,7,1250000.0,1348.767855784648,0.0,,,,,,,,
living legends,STUDIO,5,550000.0,1151.190957536403,0.0,,,,,,,,
jumeirah golf,1BR,9,1300000.0,1535.8935641192725,0.0,,,,,,,,
dubai land residence complex,2BR,64,931250.0,742.2612654618629,0.0,,,,,,,,
al satwa,1BR,20,1342116.5,1694.4972110482681,0.0,,,,,,,,
international city ph 1,1BR,183,465000.0,620.7035549305072,0.0,,,,,,,,
damac hills,1BR,84,1000000.0,1419.7275229231996,0.0,,,,,,,,
madinat hind 4,1BR,12,700000.0,1100.120947171843,0.0,,,,,,,,
sobha heartland,STUDIO,17,970000.0,1849.9899148640695,0.0,,,,,,,,
mbr district 7,1BR,12,1412500.0,1803.0735110381327,0.0,,,,,,,,
discovery gardens,2BR,57,1275000.0,904.7327620271645,0.0,,,,,,,,
madinat hind 4,STUDIO,25,465000.0,1095.1710824186075,0.0,,,,,,,,
dubai land residence complex,STUDIO,44,450000.0,963.5427628500786,0.0,,,,,,,,
down town jabal ali,STUDIO,28,547500.0,1521.0150307608897,0.0,,,,,,,,
majan,STUDIO,171,490996.0,850.5519684810167,0.0,,,,,,,,
international city ph 2 & 3,2BR,8,992500.0,813.6045644508115,0.0,,,,,,,,
nad al hamar,2BR,10,1320000.0,1037.9789651647266,0.0,,,,,,,,
jabal ali first,1BR,5,830000.0,1547.748564874984,0.0,,,,,,,,
majan,1BR,233,720000.0,866.229649477357,0.0,,,,,,,,
wadi al safa 7,1BR,9,755000.0,1216.7113572653377,0.0,,,,,,,,
liwan,STUDIO,13,550000.0,1349.9794306088666,0.0,,,,,,,,
international city ph 1,2BR,26,825000.0,800.6478137681025,0.0,,,,,,,,
remraam,2BR,34,1137500.0,988.672657742265,0.0,,,,,,,,
majan,2BR,91,1200000.0,941.0021847345655,0.0,,,,,,,,
silicon oasis,1BR,204,726150.0,909.1470139019225,0.0,,,,,,,,
dubai land residence complex,1BR,95,630000.0,769.8777998994177,0.0,,,,,,,,
wadi al safa 3,STUDIO,5,460000.0,781.4998561274133,0.0,,,,,,,,
jabal ali first,2BR,10,1105000.0,1449.178491325501,0.0,,,,,,,,
liwan,2BR,69,1230703.6,979.9983595891239,0.0,,,,,,,,
town square,2BR,75,1200000.0,1281.3469526174993,0.0,,,,,,,,
dubai investment park first,1BR,7,1100000.0,1105.7503018512357,0.0,,,,,,,,
dubai healthcare city - phase 2,1BR,65,1250000.0,1668.0306606424106,0.0,,,,,,,,
meydan one,STUDIO,201,700000.0,2035.2070168779915,0.0,,,,,,,,
al yelayiss 2,1BR,27,970000.0,1451.6114047882274,0.0,,,,,,,,
the greens,1BR,65,1490000.0,1854.3538903482347,0.0,,,,,,,,
living legends,1BR,11,925000.0,1081.0843522891314,0.0,,,,,,,,
jumeirah village circle,1BR,762,1010000.0,1340.777958690009,0.0,,,,,,,,
barsha heights,STUDIO,17,865941.58,2369.325812006302,0.0,,,,,,,,
dubai south,2BR,69,1077000.0,1046.4019095660178,0.0,,,,,,,,
mirdif,1BR,6,1000000.0,1019.500606192126,0.0,,,,,,,,
