area_key,building_key,config,dld_n_tx,dld_actual_aed,dld_actual_psf,dld_median_sqft,dld_project_en,dld_area_en,nearest_metro,pf_n_sale,pf_asking_aed,pf_p25_asking,pf_asking_psf,pf_building_name,pf_area_name,pf_n_rent,pf_rent_aed,pf_p75_rent,asking_premium_pct,dld_implied_yield_pct,pf_implied_yield_pct
jumeirah village triangle,milestone,1BR,12,1162424.0,1391.7743224658338,780.920945,Milestone Residences,JUMEIRAH VILLAGE TRIANGLE,Damac Properties,17,1249000.0,1200000.0,1535.6265356265355,Milestone Residences,Jumeirah Village Triangle,9,90000.0,95000.0,7.447884764939472,7.7424416564007625,7.205764611689351
arjan,jewelz,STUDIO,7,610000.0,1443.1094790662694,422.375436,Jewelz Residence,ARJAN,Sharaf Dg Metro Station,26,627500.0,615000.0,1499.4061757719714,Jewelz by Danube,Arjan,66,49999.0,52000.0,2.8688524590163933,8.196557377049182,7.96796812749004
dubai studio city,azizi vista,1BR,7,1151390.0,1344.9238030548208,876.289099,AZIZI VISTA ,DUBAI STUDIO CITY,Dubai Internet City,8,1228000.0,1210250.0,1371.2287366778328,Azizi Vista,Dubai Studio City,11,85000.0,90000.0,6.653696835998228,7.382381295651343,6.921824104234528
jumeirah village triangle,bali,1BR,4,1027500.0,1322.422810203147,740.1795835,Bali Residences,JUMEIRAH VILLAGE TRIANGLE,Damac Properties,16,1250000.0,1200000.0,1474.863486226826,Bali Residences,Jumeirah Village Triangle,11,78000.0,85000.0,21.654501216545015,7.591240875912408,6.239999999999999
jumeirah village circle,beverly,STUDIO,4,675000.0,1669.6698908452536,405.8528495,Beverly Residence,JUMEIRAH VILLAGE CIRCLE,Dubai Internet City,9,700000.0,680000.0,1402.0618556701031,Beverly Residence,Jumeirah Village Circle,13,55000.0,55000.0,3.7037037037037033,8.148148148148149,7.857142857142857
jumeirah village circle,hanover square,1BR,4,605000.0,849.3734420936371,667.254161,HANOVER SQUARE,JUMEIRAH VILLAGE CIRCLE,Dubai Internet City,7,730000.0,704999.0,998.4871406959153,Hanover Square,Jumeirah Village Circle,3,65000.0,65999.0,20.66115702479339,10.743801652892563,8.904109589041095
arjan,skyz,1BR,17,816000.0,1468.7542442352503,550.142929,SKYZ By Danube,ARJAN,Sharaf Dg Metro Station,38,877500.0,850000.0,1561.4035087719299,Skyz by Danube,Arjan,330,70000.0,75000.0,7.536764705882352,8.57843137254902,7.977207977207977
dubai studio city,azizi vista,STUDIO,8,667000.0,1447.755131606627,453.8060239999999,AZIZI VISTA ,DUBAI STUDIO CITY,Dubai Internet City,12,672500.0,660000.0,1573.3037845209683,Azizi Vista,Dubai Studio City,20,53999.5,55000.0,0.8245877061469266,8.095877061469265,8.029665427509295
town square,diplomat,1BR,5,950000.0,1526.1624314564106,591.6915829999999,THE DIPLOMAT RESIDENCES,TOWN SQUARE,"",3,1200000.0,1200000.0,1714.2857142857142,The Diplomat Residences,Town Square,12,74000.0,78000.0,26.31578947368421,7.7894736842105265,6.166666666666667
dubai production city,viera,1BR,6,1190096.7650000001,1482.822458991382,798.1970045,Viera Residences,DUBAI PRODUCTION CITY,Damac Properties,14,1200487.0,1200000.0,1545.8704901789356,Viera Residences,Dubai Production City,12,80000.0,85000.0,0.8730579987754079,6.722142463768481,6.663962208670314
meydan one,azizi riviera 9,STUDIO,6,687495.51,1886.6481571605195,371.7312865,Azizi Riviera 9,MEYDAN ONE,Buj Khalifa Dubai Mall Metro Station,18,700000.0,659000.0,2139.313987140074,AZIZI Riviera 9,Meydan One,22,55000.0,60000.0,1.8188467878139294,8.000052247613953,7.857142857142857
jumeirah village circle,villa pera,1BR,5,850000.0,794.5068446809812,936.782217,VILLA PERA,JUMEIRAH VILLAGE CIRCLE,Nakheel Metro Station,6,1074950.0,999900.0,1026.5792784179541,Villa Pera,Jumeirah Village Circle,,,,26.46470588235294,,
town square,liva,STUDIO,6,645000.0,1649.1848907909355,351.764252,LIVA,TOWN SQUARE,"",8,650000.0,650000.0,1857.9662412515438,Liva,Town Square,18,54000.0,59000.0,0.7751937984496124,8.372093023255815,8.307692307692308
jumeirah village circle,108,1BR,6,930000.0,1055.2656816294784,881.6710489999999,TOWER 108,JUMEIRAH VILLAGE CIRCLE,Nakheel Metro Station,25,950000.0,910000.0,1069.9893955461293,Tower 108,Jumeirah Village Circle,10,75000.0,80000.0,2.1505376344086025,8.064516129032258,7.894736842105263
business bay,elite business bay,1BR,5,1200000.0,1391.4063234836465,934.30652,ELITE BUSINESS BAY RESIDENCE,BUSINESS BAY,Business Bay Metro Station,14,1300000.0,1275000.0,1433.2965821389196,Elite Business Bay Residence,Business Bay,3,85000.0,90000.0,8.333333333333332,7.083333333333333,6.538461538461539
